Plot,F_06,F_07,F_08,F_09,F_10,F_11,F_12,F_13,F_14,F_15,G_06,G_07,G_08,G_09,G_10,G_11,G_12,G_13,G_14,G_15,LUI_06,LUI_07,LUI_08,LUI_09,LUI_10,LUI_11,LUI_12,LUI_13,LUI_14,LUI_15
AEG01,1.63,1.13,1.07,1.11,2.61,1.3,3.63,1.84,3.09,NA,0,0,0,0,0,0,0,0,0,NA,1.95,1.79,1.74,1.78,2.14,1.78,2.35,1.94,2.4,NA
AEG02,6.42,7.95,4.54,8.24,6.74,6.9,5.25,4.43,9.47,NA,0,0,0,0,0,0,0,0,0,NA,3.11,3.33,2.74,3.37,3.11,3.11,2.84,2.52,3.49,NA
AEG03,2.11,2.09,1.98,1.79,1.82,0.93,0,0.05,0,NA,0,0,0,0,0,0,0.26,0,0.09,NA,2.07,2.28,2.22,1.96,1.94,1.67,1.1,1.41,1.37,NA
AEG04,1.63,1.13,1.07,0.97,0.99,3.35,1.31,1.84,1.26,NA,0.82,0.74,0.87,0.42,0.36,0.53,1.14,0.71,0.97,NA,1.88,1.71,1.71,1.56,1.52,2.19,1.84,1.88,1.77,NA
AEG05,1.63,1.62,1.53,1.24,0.99,3.35,1.31,1.84,2.14,NA,0.84,0.86,1.01,0.47,0.28,0.77,0.78,0.9,0.94,NA,1.89,1.88,1.88,1.66,1.5,2.25,1.74,1.92,2,NA
AEG06,1.63,1.62,1.53,1.24,0.99,1.3,3.63,1.84,1.52,NA,3.08,4.78,5.64,1.37,0.96,0.92,0.51,1.15,2.75,NA,2.41,2.73,2.86,1.91,1.71,1.78,2.26,1.99,2.27,NA
AEG07,0,0,0,0,0,0,0,0,0,NA,0.25,0.21,0.22,0.34,0.32,0.19,0.28,0.18,0.18,NA,0.5,0.46,0.47,0.58,0.57,0.44,0.53,0.43,0.42,NA
AEG08,0,0,0,0,0,0,0,0,0,NA,1.01,0.72,0.85,1.09,0.89,0.52,0.47,1.1,0.47,NA,1,1.33,1.36,1.46,1.37,1.2,1.19,1.44,1.17,NA
AEG09,0,0,0,0,0,0,0,0,0,NA,0.22,0.27,0.32,0.26,0.64,0.53,0.52,0.44,0.52,NA,0.46,0.52,0.56,0.51,0.8,0.73,0.72,0.67,0.72,NA
AEG10,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1.04,1.02,0.99,1.02,0.99,0.97,0.97,0.98,0,NA
AEG11,1.14,1.13,1.07,0.91,2.87,2.91,1.79,1.38,1.33,NA,0,0,0,0,0,0,0,0,0,NA,1.82,2.06,2.01,2,2.41,2.39,2.15,2.07,2.22,NA
AEG12,1.63,1.13,1.07,2.65,5.65,3.35,2.12,2.99,1.52,NA,0,0,0,0,0,0,0,0,0,NA,1.95,1.79,1.74,2.17,2.76,2.28,2.22,2.22,2.05,NA
AEG13,1.63,1.13,1.07,2.65,5.65,3.35,2.12,2.99,2.77,NA,0,0,0,0,0,0,0,0,0,NA,1.95,1.79,1.74,2.17,2.76,2.28,2,2.22,2.34,NA
AEG14,4.06,3.16,2.98,2.66,2.53,3.13,4.52,0.77,3.6,NA,0,0,0,0,0,0,0,0,0,NA,2.49,2.29,2.23,2.17,2.12,2.23,2.53,1.64,2.32,NA
AEG15,4.21,4.19,3.95,3.57,3.82,2.64,6.75,9.5,4.47,NA,0,0,0,0,0,0,0,0,0,NA,2.73,2.7,2.63,2.58,2.6,2.33,3.09,3.52,2.68,NA
AEG16,1.54,0.77,1.45,0.65,0,0.68,0.27,0.77,0,NA,1.01,0.14,0.13,0.78,0.63,0.75,1.04,1.56,0.95,NA,1.9,1.73,1.88,1.57,1.61,1.54,1.5,1.81,1.36,NA
AEG17,2.63,2.62,2.47,2.23,2.28,0.93,1.06,0.74,0.86,NA,0,0,0,0,0,0,0,0,0,NA,2.42,2.4,2.33,2.07,2.06,1.67,1.72,1.63,1.63,NA
AEG18,6.17,3.16,2.98,2.66,2.38,3.13,4.52,2.15,4.02,NA,0,0,0,0,0,0,0,0,0,NA,3.07,2.51,2.44,2.17,2.08,2.23,2.53,2.24,2.59,NA
AEG19,1.63,1.62,1.53,1.24,0.99,1.3,1.31,1.84,1.52,NA,1.92,6.96,8.21,3.59,0.49,0.91,0.69,1.35,1.35,NA,2.15,3.1,3.27,2.2,1.57,1.77,1.72,1.79,1.69,NA
AEG20,1.63,1.62,1.53,0,0,0,0,0,0,NA,2.35,2.2,2.6,1.41,2.63,1.08,0.63,0.35,0.94,NA,1.99,1.95,2.03,1.19,1.62,1.04,0.8,0.59,0.97,NA
AEG21,12.34,12.26,11.57,7.85,0.22,2.58,1.55,4.8,0.63,NA,6.77,7.9,9.32,6.57,9.22,6.22,2.77,5.52,3.15,NA,4.37,4.49,4.57,3.8,3.23,2.97,2.29,3.21,2.16,NA
AEG22,0,0,0,0,3,0,0,0,1.22,NA,0.12,0,0,0.3,0.26,0.24,0.24,0.98,0.29,NA,1.09,1.02,0.99,1.16,2.06,1.08,1.09,1.39,1.55,NA
AEG23,0,0,0,0,0,0.93,1.06,1.19,0,NA,0,0,0,0,0,0,0,0,0,NA,1.47,1.44,1.4,1.02,0.99,1.67,1.72,1.76,1.34,NA
AEG24,2.65,0,2.49,2.25,1.33,2.35,2.66,3.75,3.08,NA,0.99,0.92,1.09,1.47,1.23,0.8,0.97,1.58,1.17,NA,2.41,1.73,2.36,2.41,2.12,2.24,2.35,2.69,2.64,NA
AEG25,0,0,0,0,1.33,0,0,0,0,NA,0.41,0.38,0.45,0.74,0.47,0.32,0.32,0.28,0.31,NA,0.64,0.62,0.67,0.86,1.34,0.57,0.56,0.53,0.56,NA
AEG26,0,0,0,0,0,0,0,0,0,NA,0.37,2.78,2.11,2.2,2.63,2.21,2.15,1.79,1.71,NA,0.61,1.67,1.45,1.48,1.62,1.49,1.47,1.34,1.31,NA
AEG27,0,0,0,0,0,0,0,0,0,NA,1.34,1.51,1.78,0.92,1.15,0.87,1.02,1.1,1.29,NA,1.16,1.23,1.34,0.96,1.07,0.93,1.01,1.05,1.14,NA
AEG28,0,0,0,0,0,0,0,0,0,NA,0.39,0.35,0.49,0.44,0.55,0.74,1.9,1.45,1.43,NA,0.62,0.59,0.7,0.66,0.74,0.86,1.38,1.2,1.2,NA
AEG29,0.65,0.64,0.61,0.91,0.56,0.24,0,0.76,0,NA,0.37,0.35,0.41,0.56,0.5,1.44,0.84,1.18,0.71,NA,1.45,1.43,1.42,1.58,1.42,1.61,1.34,1.97,1.27,NA
AEG30,0,0,0,0,2.67,0,0,0,0,NA,0.92,0.86,1.02,1.83,1.91,1.51,1.87,2.27,0.82,NA,0.96,0.93,1.01,1.69,2.36,1.56,1.68,1.8,1.62,NA
AEG31,0,0,0,0,0,0,0,0,0,NA,0.44,0.41,0.49,0.73,2.39,1.01,1.35,1.34,0.79,NA,0.66,0.64,0.7,1.33,1.83,1.39,1.52,1.52,1.3,NA
AEG32,0,0,0,0,0,0,0,0,0,NA,0.27,0.25,0.34,0.3,0.45,0.45,0.98,0.79,0.63,NA,0.52,0.5,0.58,0.55,0.67,0.67,0.99,0.89,0.79,NA
AEG33,0,0,0,0,0,0,0,0,0,NA,0.58,2.25,2.65,0.81,1.4,1.17,1.14,1.2,1.13,NA,0.76,1.5,1.63,0.9,1.18,1.08,1.07,1.09,1.06,NA
AEG34,0,0,0,0,0,0,0,0,0,NA,0.42,0.63,1.06,0.95,0.84,1.47,1.47,1.16,1.47,NA,0.65,0.79,1.03,0.97,0.91,1.55,1.55,1.46,1.54,NA
AEG35,1.14,1.13,1.07,0.97,1.27,0.87,0.98,1.84,3.16,NA,0,0,0,0,0,0,0,0,0,NA,1.82,1.79,1.74,1.74,1.79,1.65,1.95,1.94,2.42,NA
AEG36,1.14,1.13,1.07,0.91,2.87,0.87,0.98,1.61,3.16,NA,0,0,0,0,0,0,0.19,0,0,NA,1.82,1.79,1.74,1.73,2.19,1.65,1.75,1.88,2.42,NA
AEG37,1.63,1.13,1.07,2.65,0.99,1.3,2.12,3.37,1.52,NA,0,0,0,0,0,0,0.31,0.21,0,NA,1.95,1.79,1.74,2.17,1.71,2.02,2.08,2.34,1.82,NA
AEG38,1.05,0,0,0,0,1.09,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1.79,1.44,1.4,1.44,1.4,1.72,1.37,1.39,1.34,NA
AEG39,1.63,1.13,1.07,2.65,0.99,3.35,2.12,3.37,1.52,NA,0,0,0,0,0,0,0,0,0,NA,1.95,1.79,1.74,2.17,1.71,2.48,2,2.3,1.82,NA
AEG40,1.39,1.38,1.3,1.05,1.33,2.12,1.88,3.62,1.14,NA,0,0,0,2.34,0,0,0,0,0,NA,1.88,1.86,2.06,2.1,2.06,2.22,1.94,2.55,1.71,NA
AEG41,2.56,3.49,3.29,2.92,3.32,4.85,5.29,7.38,4.28,NA,0,0,0,0,0.2,0,0.1,0,0.27,NA,2.41,2.36,2.3,2.23,2.34,2.76,2.7,3.2,2.52,NA
AEG42,2.11,2.09,1.98,1.79,1.82,1.86,2.12,1.38,1.84,NA,2.63,2.46,2.91,1.67,0.64,0.57,0.93,1.42,0,NA,2.41,2.37,2.42,1.86,2.1,2.07,2.22,1.94,2.13,NA
AEG43,1.79,1.88,1.78,1.52,1.37,0,0,0,0,NA,1.48,1.49,1.76,1.58,1.13,1.39,1.11,0,0,NA,2.09,2.1,2.13,2.03,1.58,1.18,1.05,1.39,1.34,NA
AEG44,0,0,0,0,0,0,0,0,0,NA,2.76,3.53,4.24,4.11,3.8,1.34,1.63,1.2,1.77,NA,1.66,1.88,2.06,2.03,1.95,1.16,1.27,1.1,1.33,NA
AEG45,0,0,0,0,0,0,0,0.77,0.63,NA,0,0,0,0,0,0,0,0,0,NA,1.47,1.44,1.4,1.44,1.4,1.67,1.68,1.64,1.56,NA
AEG46,0,0,0,0,0,0,0,0,0,NA,2.65,1.99,2.35,3.37,2.2,1.95,1.67,2.82,2.2,NA,1.63,1.41,1.53,1.84,1.48,1.4,1.29,1.68,1.48,NA
AEG47,0,0,0,0,0,0,0,0,0,NA,1.67,0.38,0.34,0.4,0.52,0.52,0.51,0.52,0.71,NA,1.29,0.62,0.58,0.63,0.72,0.72,0.72,0.72,0.84,NA
AEG48,0,0,0,0,0,0,0,0,0,NA,0.35,0.43,0.51,0.42,0.44,0.4,0.4,0.42,0.49,NA,0.59,0.66,0.72,0.65,0.67,0.64,0.63,0.65,0.7,NA
AEG49,0,0,0,0,0,0,0,0,0,NA,0.5,0.64,1.26,1.13,0.88,1.16,1.38,1.21,1.19,NA,0.71,0.8,1.12,1.06,0.94,1.08,1.18,1.1,1.09,NA
AEG50,3.23,3.21,3.03,2.74,5.33,2.05,0.54,0.77,0.31,NA,0,0,0,0,0,0,0,0,0,NA,2.32,2.3,2.24,2.19,2.7,1.98,1.56,1.64,1.45,NA
HEG01,3.75,4.37,4.99,6.59,4.23,5.32,5.57,6.36,5.11,8.17,0,0.31,0.41,0,0,0,0.2,0.84,0.49,0.25,2.43,2.79,2.72,3.11,2.49,2.85,2.77,3.02,2.88,3.29
HEG02,3.26,4.54,1.83,4.48,4.23,3.92,4.75,3.46,0,6.8,0,0.24,0,0.22,0,0.22,0.15,0,0.17,0.07,2.55,2.81,2.19,2.79,2.67,2.63,2.42,2.1,1.03,3.04
HEG03,3.26,4.54,1.83,4.48,4.23,3.92,4.75,6.36,5.11,6.8,0,0.24,0,0.22,0,0.22,0.15,0,0.33,0.07,2.55,2.81,2.19,2.79,2.67,2.63,2.6,2.88,3.01,3.04
HEG04,0.88,0.87,0.83,2.99,2.28,3.12,0,2.49,10.54,8.02,1.29,0.79,1.09,0.92,1.35,1.33,0.37,0.57,0,0,1.8,1.65,1.97,2.22,2.15,2.51,1.5,2.23,3.64,3.22
HEG05,1.96,2.59,2.45,3.32,2.54,5.44,5.47,3.87,3.26,7.11,0.35,0.65,0.6,0.89,1.12,0.97,1.68,0.83,0.79,1.26,2.11,2.31,2.24,2.51,2.57,2.88,2.84,2.57,2.42,3.28
HEG06,2.11,2.62,2.47,3.04,3.72,0,0,0,2.2,0.4,0.34,0.06,0.08,0.44,0.8,0.18,0.34,0.54,0.26,0.82,1.88,1.93,1.88,2.12,2.34,1.43,1.49,1.57,2.27,1.55
HEG07,0.28,0,0,0,0,0,0,0,0,0,3.02,3.15,2.7,2.17,0.27,5.21,2.88,1.27,1.72,1.36,1.81,1.77,1.64,1.47,0.52,2.48,1.7,1.13,1.31,1.6
HEG08,0.28,0,0,0,0,0,0,0,0,0,3.02,3.15,2.7,1.37,0.27,1.75,0.64,1.27,1.72,1.36,1.81,1.77,1.64,1.17,0.52,1.32,0.8,1.13,1.31,1.6
HEG09,0,0,0,0,0,0,0,0,0,0,0.48,0.5,0.59,0.59,0.45,0.51,0.31,0.46,0.85,0.67,0.69,0.7,0.77,0.77,0.67,0.71,0.56,0.68,0.92,0.82
HEG10,0.28,0,0,0,4.8,0,0,4.09,0,5.75,0,0,0,0,0.75,0.92,0.13,0,0.35,0,1.16,1.02,0.99,1.02,2.55,1.36,1.04,2.25,1.47,2.63
HEG11,0.28,0,0,0,4.8,0,0,4.09,0,0,0,0,0,0,0.43,0.4,0,0,0.33,0,1.16,1.02,0.99,1.02,2.49,1.16,0.97,2.25,1.11,1.09
HEG12,1.96,1.62,1.53,1.77,1.13,0,0,0,1.89,3.04,6.5,3.13,3.69,10.31,8.6,6.95,8.79,11.6,12.09,3.2,3.09,2.18,2.29,3.47,3.12,2.64,2.96,3.41,3.86,2.5
HEG13,0,0,0,0,0,0,0,1.49,0,0,0.43,0.28,0.41,0.66,0.3,0.34,0.2,0.14,0.23,0.79,1.92,1.84,1.84,1.65,1.5,1.77,1.74,1.88,1.42,1.78
HEG14,1.96,5.01,4.73,1.66,3.29,3.78,5.96,2.77,2.27,3.64,0.07,1.27,1.49,0.14,0.15,0,0.18,0.07,0.21,0.42,1.76,2.71,2.68,1.68,2.32,2.17,2.66,2.18,2.07,2.29
HEG15,1.96,1.94,1.83,1.49,2.11,6.24,5.21,3.46,3.26,4.8,0.24,0.18,0.37,0.43,0.29,0.27,0.4,0.3,0.31,0.22,1.81,2.05,1.79,1.72,1.84,2.89,2.74,2.17,2.11,2.49
HEG16,0,0,0,0,0,0,0,0,0,0,0.15,0.79,0.93,1.65,1.23,1.59,2.54,1.07,1.09,1.45,0.38,0.89,0.96,1.28,1.11,1.26,1.59,1.03,1.04,1.21
HEG17,0,0,0,0,0,0,0,0,0,0,0.26,0.33,0.39,0.51,0.48,0.38,0.5,0.25,0.8,0.23,0.51,0.58,0.63,0.72,0.69,0.61,0.7,0.5,0.89,1.19
HEG18,0,0,0,0,0,0,0,0,0,0,0.07,0.6,0.71,0.52,0.53,0.4,0.66,0.28,0.32,0.25,0.26,0.77,0.84,0.72,0.73,0.63,0.81,1.12,0.57,0.5
HEG19,0,0,0,0,0,0,0,0,0,0,0.26,0.33,0.39,0.51,0.48,0.38,0.5,0.25,0.8,0.23,0.51,0.58,0.63,0.72,0.69,0.61,0.7,0.5,0.89,0.48
HEG20,0,0,0,0,0,0,0,0,0,0,0.07,0.38,0.45,0.55,0.39,1.61,2.33,0.74,1.17,0.67,0.26,0.62,0.67,0.74,0.62,1.27,1.53,0.86,1.08,0.82
HEG21,0,0,0,0,0,0,0,0,0,0,0.24,0.62,0.28,0.68,0.3,0.53,0.75,0.34,0.33,0.3,0.49,0.79,0.53,0.82,0.55,0.73,0.86,0.58,0.57,0.55
HEG22,0,0,0,0,0,0,0,0,2.45,0,0.46,0.31,0.36,0.33,0.14,0.24,0.2,0.3,0.12,0.11,1.24,1.16,1.53,1.17,1.45,1.45,1.45,1.49,2.09,1.58
