Plot,F_06,F_07,F_08,F_09,F_10,F_11,F_12,F_13,F_14,F_15,G_06,G_07,G_08,G_09,G_10,G_11,G_12,G_13,G_14,G_15,LUI_06,LUI_07,LUI_08,LUI_09,LUI_10,LUI_11,LUI_12,LUI_13,LUI_14,LUI_15
HEG23,0,0,0,0,0,0,0,0,0,0,1.27,0.75,1.49,0.5,0.47,1.54,0.48,0.49,0,0,1.53,1.34,1.57,1.24,1.2,1.85,1.19,1.21,0.95,1.09
HEG24,0,0,0,0,0,0,0,0,0,0,1.76,2.48,1.77,0.46,0.82,2.18,0.87,1.17,0.52,0.27,1.69,1.58,1.66,1.22,1.34,2.01,1.66,1.46,1.19,1.21
HEG25,0,0,0,0,0,0,0,0,0,0,3.97,2.79,3.29,0.47,2.51,0.56,0.49,0.26,0.34,0.23,1.99,1.67,1.81,1.23,1.58,1.22,1.2,1.1,1.11,1.19
HEG26,0.28,0,0,0,0,2.73,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,1.16,1.02,0.99,1.02,1.4,1.91,0.97,0.98,2.06,1.54
HEG27,1.96,1.94,1.83,1.72,1.69,2.02,1.96,2.31,1.89,3.04,0,0,0,0,0,0,0,0,0,0.36,1.74,1.73,1.68,1.66,1.63,1.97,1.96,1.81,1.92,2.14
HEG28,0.88,0.97,2.9,2.99,2.28,2.34,0,0,0,0,0.69,0.57,0,0,0,0,0,0,0,0.23,1.63,1.61,2.21,2.25,1.8,2.05,1.37,1.39,1.34,1.19
HEG29,0.88,0.97,0.83,2.99,2.28,2.34,0,0,0,0,0.97,0.37,0.58,0,0,0,0,0,0.39,0.23,1.71,1.85,1.55,2.25,1.8,2.05,1.37,1.39,1.48,1.19
HEG30,1.96,1.94,2.45,3.04,1.97,3.2,5.47,3.92,3.03,7.59,0.35,0,0,0,0,0,0,0,0.48,0.37,2.11,2.25,2.33,2.48,2.21,2.25,2.71,2.61,2.3,3.4
HEG31,1.17,1.62,1.53,1.24,3.41,2.12,2.41,3.83,1.89,0,0.16,0.83,0.98,0.27,0.78,0.39,0.41,0.31,0.76,0.5,1.87,1.87,1.87,1.6,2.27,2.09,1.94,2.46,2.11,1.3
HEG32,1.96,1.62,1.53,1.72,1.69,1.73,1.96,2.31,1.89,3.04,3.11,0.72,0.85,1.53,1.19,0.91,1.54,0.55,0.76,0.47,2.48,1.84,1.84,2.07,1.96,1.89,2.11,1.95,1.88,2.17
HEG33,0.88,0.87,0.83,2.99,2.28,3.12,0,0,0,0,1.28,0.82,1.14,0.94,1.05,1.13,0.66,0.61,1.56,0.51,1.47,1.66,1.98,2.23,2.08,2.28,1.27,1.59,1.57,1.31
HEG34,2.11,2.62,2.47,3.04,3.72,0,0,0,3,4.01,0.34,0.06,0.08,0.44,0.8,0.18,0.34,0.54,0.26,0.82,1.88,1.93,1.88,2.12,2.34,1.43,1.49,1.57,2.44,2.45
HEG35,2.11,2.62,2.47,3.04,3.72,0,0,3.04,3.33,4.01,3.32,0.14,0.16,0.33,0.8,0.88,0.46,1.71,4.6,2.81,2.55,1.95,1.9,2.1,2.34,1.35,1.19,2.39,2.97,2.83
HEG36,1.96,1.94,1.83,1.66,2.76,5.53,6.91,6.96,5.53,0,0.37,1.21,1.43,0.3,0.52,0.08,0.31,0.3,0,0.71,1.85,2.05,2.06,2.01,2.06,2.73,3.02,3.03,2.87,0.84
HEG37,1.96,1.94,1.83,1.94,3.04,4.04,6.91,6.96,5.57,4.98,0.39,1.26,1.49,0.38,0.52,0.08,0.31,0.3,0.43,1.23,1.85,2.06,2.08,2.09,2.13,2.45,3.02,3.03,2.79,2.93
HEG38,0,0,0,0,0,0,0,0,0,0,1.87,1.87,2.23,4.12,1.4,2.58,4.6,6.79,4.34,2.18,1.37,1.37,1.49,2.27,1.54,1.61,2.15,2.61,2.08,1.48
HEG39,0,0,0,0,0,0,0,0,0,0,2.08,1.31,2.78,0.22,1.24,0.78,0.83,1.01,1.65,0.32,1.44,1.14,1.67,0.46,1.11,1.31,1.33,1,1.29,1.64
HEG40,0,0,0,0,0,0,0,0,0,0,3.17,0.38,0.35,4.98,3.42,2.12,4.04,2.58,2.48,1.13,1.78,0.62,0.59,2.23,1.85,1.46,2.01,1.6,1.57,1.07
HEG41,0,0,0,0,0,0,0,0,0,0,0.07,0.38,0.45,0.55,0.39,1.61,2.33,0.74,1.17,0.67,0.26,0.62,0.67,0.74,0.62,1.27,1.53,0.86,1.08,0.82
HEG42,0,0,0,0,0,0,0,0,0,0,0.26,0.33,0.39,0.51,0.48,0.38,0.5,0.4,1.09,0.05,0.51,0.58,0.63,0.72,0.69,0.61,0.7,0.63,1.04,0.22
HEG43,0,0,0,0,0,0,0,0,0,0,0.08,0.61,0.72,0.66,0.76,0.55,1.01,0.46,0.68,0.47,0.28,0.78,0.85,0.81,1.32,0.74,1.4,1.19,0.82,1.29
HEG44,0,0,0,0,0,0,0,0,0,0,0.04,0.79,0.93,0.41,0.46,0.61,0.34,0.25,1.08,0.46,0.2,0.89,0.96,0.64,0.68,0.78,1.13,0.5,1.41,1.28
HEG45,0,0,0,0,0,0,0,0,0,0,0.04,0.12,0.15,0.8,0.58,0.45,0.65,0.62,0.43,0.72,0.2,0.35,0.38,0.9,0.76,0.67,0.81,0.79,0.65,0.85
HEG46,0,0,0,0,0,0,0,0,0,0,0.31,0.6,0.18,0.72,0.61,1.11,0.63,0.53,0.49,0.61,0.56,0.78,0.42,0.85,0.78,1.05,0.79,0.73,1.18,1.34
HEG47,0,0,0,0,0,0,0,0,3.36,0,0.9,0.71,0.84,1.21,1.06,1.45,0.57,0,0.53,0.9,1.41,1.32,1.35,1.5,1.73,1.54,1.57,1.39,2.19,1.45
HEG48,0,0,0,0,0,0,0,0,3.36,0,0.89,1.8,2.12,0,1.62,0.28,0.17,0,0,0.1,1.4,1.34,1.76,1.02,1.61,1.1,1.44,0.98,2.27,1.57
HEG49,0,0,5.78,0,0,2.73,0,0,3.36,0,0.84,1.14,0.29,0,0.12,0,0,0,0,0,1.38,1.07,2.66,1.02,1.44,2.14,0.97,1.39,2.27,1.54
HEG50,0,6.13,5.78,0,0,0,0,0,0,7.18,0.86,0.38,0,0.61,0.2,0.26,0.16,0.19,0.22,0.16,1.39,2.75,2.6,1.28,1.08,1.09,1.05,1.07,1.06,2.92
SEG01,3.68,4.08,3.03,3.18,1.41,2.31,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.48,2.45,2.29,2.08,2.04,1.83,1.39,0.95,1.09
SEG02,5.31,2.92,1.38,3.18,1.41,2.31,1.47,0,0,0,0,0,0.18,0.19,0.67,0.22,0.69,0,0.94,0.64,2.73,2.24,1.88,2.33,1.75,1.86,2.01,1.39,1.35,1.35
SEG03,4.14,3.89,1.38,3.18,1.41,2.31,1.47,0,0,0,0,0.39,0.32,0.83,0,1.36,0,0,0.99,1,2.51,2.52,1.91,2.25,1.83,2.54,1.83,1.39,1.37,1.48
SEG04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.89,0.88,0.63,0,1.04,1.02,0.99,1.02,0.99,1.17,0.94,0.94,1.23,1.09
SEG05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,1.04,1.02,0.99,1.02,1.4,0.97,1.77,0.98,0,1.09
SEG06,0,0,0,0,0,0,0,0,0,0,0.62,0,0.26,2.42,3.11,2.54,2.09,1.82,1.94,1.5,1.3,1.44,1.12,1.56,1.76,1.59,1.45,1.35,1.39,1.23
SEG07,0,0,0,0,0,0,0,0,0,0,0.91,0.85,3.98,2.69,3.55,4.23,3.96,2.74,1.46,1.92,0.95,0.92,1.99,1.64,1.88,2.06,1.99,1.65,1.21,1.38
SEG08,0,0,0,0,0,0,1.06,3.46,3.79,0,0.21,0.19,0,0,0,0.23,0.29,0.61,3.32,1.24,0.46,0.44,1.4,1.44,0.99,1.08,1.8,2.02,2.67,1.56
SEG09,0,0,0,0,0,0,0,0,0,0,2.35,0.98,0.85,4.02,1.22,3.49,4.2,3.67,3.74,2.69,1.53,0.99,1.36,2,1.11,1.87,2.05,1.92,2.15,1.64
SEG10,4.14,3.89,1.38,3.18,1.41,2.31,1.47,0,0,0,0,0.39,0.32,0.83,0,0,0.63,1.44,0.99,1.02,2.51,2.52,1.91,2.25,1.83,2.04,1.75,1.55,1.37,1.49
SEG11,4.14,3.89,1.38,3.18,1.41,2.31,1.47,0,0,0,0,0.39,0.32,0.83,0,0,0.63,1.13,0.99,0.85,2.51,2.52,1.91,2.25,1.83,2.04,1.75,1.45,0.99,0.92
SEG12,3.68,4.08,3.03,3.18,1.41,2.31,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.48,2.45,2.29,2.08,2.04,1.83,1.39,0.95,1.09
SEG13,2.18,1.52,2.54,0,0,0,0,0,0,0,0,0,0.44,0,0,0.88,0,0,0.18,0.87,2.08,1.9,2.23,1.44,1.4,1.66,1.37,1.7,1.04,0.93
SEG14,0,0,0,0,0,0,0,0,0,0,0.91,0.85,0,0.8,0.93,0.9,0.6,0.64,0.77,0.27,0.95,0.92,0.99,1.35,0.97,0.95,1.24,1.27,1.29,1.21
SEG15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,1.04,1.02,0.99,1.02,1.4,1.37,1.42,1.39,0.95,1.09
SEG16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,4.93,2.55,0,0.76,1.04,1.02,0.99,1.02,0.99,1.66,2.42,1.6,0.95,0.87
SEG17,0,0,0,0,0,0,0,0,0,0,0.62,0,0.51,1.24,1.83,0.65,0.15,0.15,0.26,1.39,1.3,1.44,1.23,1.11,1.35,1.26,1.43,1.44,1.07,1.61
SEG18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1.44,1.4,1.44,1.4,1.37,1.37,1.39,1.34,1.54
SEG19,0,0,0,0,0,0,0,0,0,0,0.21,0.19,0,1.56,0.53,1.74,1.21,0.21,0.53,1.61,0.46,0.44,0.99,1.25,1.23,1.32,1.47,1.08,1.52,1.27
SEG20,0,0,0,0,0,0,0,0,0,0,1.96,1.09,1.38,0.43,1.24,3.01,2.14,3,3.69,2.25,1.4,1.05,1.17,1.21,1.49,1.73,1.46,1.73,1.92,1.86
SEG21,0,0,0,0,0,0,0,0,0,0,2.25,1.56,4.34,1.94,2.04,1.77,1.93,2.9,2.12,3.69,1.5,1.25,2.08,1.39,1.43,1.33,1.39,1.7,1.74,1.92
SEG22,0,0,0,0,0,0,0,0,0,0,0.8,0.75,1.22,2.24,7.33,3.48,3.33,5.28,2.9,1.59,0.89,0.87,1.11,1.5,2.71,1.86,1.82,2.3,1.7,1.26
SEG23,0,0,0,0.45,0.91,1.09,2.12,3.46,3.79,0,0,0,0,0,0,0,0,0,0,0,1.47,1.44,1.4,1.88,1.69,1.72,2.22,2.32,2.36,1.54
SEG24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1.02,1.4,1.02,0.99,0.97,0.97,0.98,0.95,1.09
SEG25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1.44,1.4,1.44,1.4,1.37,1.37,1.39,1.34,1.54
SEG26,0,0,0,0.45,0.91,1.09,2.12,3.46,3.79,0,0,0,0,0,0,0,0,0,0,0,1.47,1.44,0.99,1.88,1.69,1.42,2.22,2.32,2.36,1.54
SEG27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1.02,0.99,1.02,0.99,0.97,0.97,0.98,0.95,1.54
SEG28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1.02,1.4,1.02,0.99,0.97,1.37,1.39,0.95,1.09
SEG29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0.99,1.02,0.99,0.97,0.97,0.98,0.95,1.09
SEG30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1.44,0.99,1.44,1.4,1.37,1.37,1.39,1.34,1.54
SEG31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1.44,0.99,1.44,1.4,1.37,1.37,1.39,1.34,1.54
SEG32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,1.44,0.99,1.44,1.4,1.37,1.37,1.39,1.34,1.54
SEG33,2.61,1.68,0,0,0,2.46,2.79,0,0,0,0.77,1.82,1.9,2.3,2.44,1.69,1.78,2.18,3.6,2.24,2.11,2.13,1.38,1.83,1.56,2.04,2.14,1.48,1.9,1.5
SEG34,2.61,1.59,3.82,0,2.4,2.46,2.79,0,0,0,0.44,0.95,1.03,1.12,1.14,1.24,1.59,1.27,1.66,0.9,2.03,1.89,2.42,1.47,1.88,1.92,2.09,1.13,1.6,0.95
SEG35,2.61,1.59,3.82,0,2.4,2.46,2.79,0,0,0,0.44,0.95,1.03,0.97,0.27,1.81,1.28,0.53,0.68,0.84,2.03,1.89,2.42,1.42,1.91,2.07,2.02,1.57,1.25,0.92
SEG36,0,0,0,0,0,0,0,0,0,0,1.1,2.24,4.06,3.51,2.59,1.36,1.91,1.75,1.68,1.42,1.05,1.5,2.02,1.87,1.61,1.17,1.38,1.32,1.29,1.19
SEG37,0,0,0,0,0,0,0,0,0,0,2.79,6.1,1.68,2.46,1.18,3.98,2.69,3.74,2.15,0.88,1.67,2.47,1.3,1.57,1.47,1.99,1.64,1.93,1.47,1.44
SEG38,0,0,0,0,0,0,0,0,0,0,10.6,9.94,3.68,1.26,1.95,2.91,1.55,1.2,1.99,3.82,3.42,3.31,1.92,1.51,1.71,1.96,1.58,1.47,1.7,2.24
SEG39,0,2.01,0,0,0,0,0,0,0,0,0.42,0,0,0.42,1.32,0.73,1.33,0.86,0.9,1.31,0.65,1.75,0.99,1.21,1.51,1.29,1.15,0.93,1.34,1.14
SEG40,0,0,0,0,0,0,0,0,0,0,2.37,5.68,3.14,6.02,4.21,4.91,3.61,3.1,4.07,4.62,1.54,2.38,1.77,2.45,2.05,2.22,1.9,1.76,2.02,2.15
SEG41,0,0,0,0,0,0,0,0,0,0,10.11,5.6,3.34,0,2.72,2.59,1.44,3.84,3.14,7.96,3.18,2.37,1.83,1.02,1.65,1.61,1.2,1.96,1.77,2.82
SEG42,0,0,11.57,0,0,0,9.29,1.4,0.9,0,3.84,7.22,6.3,6.01,6.03,4.35,7.1,5.83,3.16,1.32,1.96,2.69,4.23,2.45,2.46,2.09,4.05,2.69,2.01,1.15
SEG43,0,0,0,11.78,0,0,0,0.9,1.11,7.16,2.04,1.8,2.74,2.82,4.07,4.11,1.97,1.73,1.86,1.93,1.43,1.34,1.65,3.82,2.02,2.03,1.4,1.62,1.72,3.01
SEG44,0,0,0,0,0,0,0,0,0.9,4.48,3.08,0.92,2.43,2.63,0.81,1.51,2.03,1.79,3.97,1.73,1.75,0.96,1.56,1.62,0.9,1.23,1.43,1.34,2.21,2.49
SEG45,0,0,0,0,0,0,0,0,0,0,0.7,1.38,0.85,1.67,1.7,2.81,1.7,2.39,2.18,2.17,0.84,1.18,0.92,1.29,1.31,1.68,1.31,1.54,1.48,1.47
SEG46,0,0,0,0,0,0,0,0,0,0,5.38,0.64,1.4,2.6,4.38,4.26,5.29,7.9,3.16,6.46,2.32,0.8,1.18,1.61,2.09,2.06,2.3,2.81,1.78,2.54
SEG47,0,0,0,0,0,0,0,0,0,0,0.95,1.19,1.48,1.51,4.51,2.71,3.07,2.57,2.55,2.04,0.98,1.09,1.21,1.23,2.34,1.65,1.75,1.6,1.6,1.43
SEG48,0,0,0,0,0,0,0,0,0,0,2.35,0.98,0.85,4.39,3.46,2.12,2.54,2.89,3.64,4.21,1.53,0.99,1.36,2.1,1.86,1.45,1.59,1.7,1.91,2.05
SEG49,0,0,0,0,0,0,0,0,0,0,3.26,4.14,2.59,3.18,3.17,1.75,2.46,1.37,2.44,1.45,1.81,2.04,1.61,1.78,1.78,1.32,1.57,1.17,1.56,1.2
SEG50,0,0,0,0,0,0,0,0,0,0,4.99,4.67,0.66,1.04,1.41,1.93,0.46,0.91,2.31,1.15,2.23,2.16,0.81,1.02,1.19,1.39,0.68,0.95,1.52,1.07